行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨-铝),固定成本(元/吨-铝),年化总成本(元/吨-铝),节电潜力(kwh/吨-铝),节煤潜力(GJ/吨-铝),减排潜力(tCO2/吨-铝),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元/吨-氧化铝),固定成本(元/吨-氧化铝),年化总成本(元/吨-氧化铝),节电潜力(kwh/吨-氧化铝),节煤潜力(GJ/吨-氧化铝),减排潜力(tCO2/t-氧化铝),投资成本(元/吨-铜),固定成本(元/吨-铜),年化总成本(元/吨-铜),节电潜力(kwh/吨-铜),节煤潜力(GJ/吨-铜),减排潜力(tCO2/吨-铜),
有色金属,机改技术,铝冶炼,“全息”操作及控制技术（Holographic-operation-and-control）------可参与成本分析技术,技术说明：,2016,null,商业应用,143.66,5.7464,26.2,253,0,0.15,174.67,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,低温低压电解工艺用导气式阳极技术（Gas-conducting-prebaked-anode-reduction-cell-with-low-temperature-and-low-voltage）------可参与成本分析技术,技术说明：,2016,null,商业应用,49.067,1.96268,8.95,96,0,0.056,159.82,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,低温低压铝电解新技术（New-reduction-cell-with-low-temperature-and-low-voltage-）------可参与成本分析技术,技术说明：,2016,null,商业应用,576.14,23.0456,77.43,600,0,0.35,221.23,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,全石墨化阴极技术（Fully-graphitized-cathode）------可参与成本分析技术,技术说明：,2016,null,商业应用,752.26,30.0904,101.1,400,0,0.23,439.57,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,全自动温控燃气焙烧技术（Gas-roasting-with-auto-balancing-temperature）------可参与成本分析技术,技术说明：,2016,null,商业应用,117.46,4.6984,21.42,45,0,0.026,823.85,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,大型高效阳极焙烧炉，系统优化（Large-&-efficient-anode-baking-furnace-with-system-optimization）------可参与成本分析技术,技术说明：,2016,null,商业应用,134.01,5.3604,18.01,9.78,0.18,0.022,818.64,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,新型电解槽导流结构（New-diversion-structure-for-reduction-cell）------可参与成本分析技术,技术说明：,2016,null,商业应用,1938.46,77.5384,260.52,1200,0,0.7,372.17,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,新型阴极结构及焙烧启动与控制技术（New-efficient-cathode-cell-with-two-stage-roasting-process）------可参与成本分析技术,技术说明：,2016,null,商业应用,1846.83,73.8732,248.2,850,0,0.49,506.53,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,新型阴极结构电解槽高效节能技术（Structural-optimization-for-reduction-cell-with-low-temperature-and-low-voltage）------可参与成本分析技术,技术说明：,2016,null,商业应用,72.036,2.88144,9.68,160,0,0.093,104.09,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,新型阴极结构（New-cathode-structure）------可参与成本分析技术,技术说明：,2016,null,商业应用,1826.92,73.0768,245.53,1024,0,0.59,416.15,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,智能槽控系统（Intelligent-control-system-for-reduction-cell）------可参与成本分析技术,技术说明：,2016,null,商业应用,123.058,4.92232,22.44,300,0,0.17,132,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,电解槽新型焦粒焙烧启动技术（New-coke-roasting-for-start-up-of-reduction-cell）------可参与成本分析技术,技术说明：,2016,null,商业应用,144.23,5.7692,19.38,40.83,0,0.024,807.5,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,电解槽焙烧自动控制技术（Automatic-control-system-for-roasting-process）------可参与成本分析技术,技术说明：,2016,null,商业应用,203.54,8.1416,37.12,280,0,0.16,232,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,电解槽电流强化与高效过程控制技术（Current-strengthen-and-high-efficiency-process-control）------可参与成本分析技术,技术说明：,2016,null,商业应用,599.82,23.9928,109.39,1000,0,0.58,188.6,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,电解铝预焙阳极纳米陶瓷基高温防氧化涂层保护技术------可参与成本分析技术,技术说明：纳米陶瓷基高温防氧化涂层材料是根据铝电解槽内高温、高浓度 CO2和腐蚀性气体环境以及电解质体系特性而开发的防氧化、无污染材 料。通过喷涂方式将涂层材料喷涂在电解铝预焙阳极炭块侧表面，可 阻止周围空气、CO2和电解质蒸汽对阳极炭块的侵蚀，实现炭块的隔绝 保护，同时也可以降低阳极炭块四周氧化掉渣。在恒定的电流强度下，与不用涂层的阳极相比，阳极炭块的消耗速率降低，使用寿命延长，从 而降低吨铝炭耗、CO2排放和含氟危险废物炭渣量。同时，还可以在一 定程度上降低电解质电阻，改善电解槽情况，降低电耗。,2022,85 万吨产能铝电解槽,商业应用,6.47,0.2588,0.97,null,null,0.055,17.64,15,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,铝液流态优化技术Optimization-of-flow-pattern-of-molten-aluminum）------可参与成本分析技术,技术说明：,2016,null,商业应用,121.15,4.846,22.1,200,0,0.12,184.17,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,铝电解三度寻优技术（Self-optimizing-control-system-for-reduction-cell）------可参与成本分析技术,技术说明：,2016,null,商业应用,107.69,4.3076,19.64,139,0,0.081,242.47,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,铝电解余热回收技术（Heat-recovery-from-aluminum-electrolysis-process）------可参与成本分析技术,技术说明：,2016,null,商业应用,353.077,14.12308,47.45,200,0,0.12,395.42,20,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,铝电解槽稳态电流绝缘（Steady-current-insulation-for-aluminium-electrolytic-cell）------可参与成本分析技术,技术说明：,2016,null,商业应用,96.15,3.846,17.54,500,0,0.29,60.48,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,铝电解系列不停电停开槽技术（Start-up-and-shut-down-of-single-cell-without-cut-off-power）------可参与成本分析技术,技术说明：,2016,null,商业应用,84.14,3.3656,15.35,87.5,0,0.051,300.98,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,铝电解阳极电流分布在线监测系统（On-line-monitoring-for-distribution-of-current-density-on-anode）------可参与成本分析技术,技术说明：,2016,null,商业应用,71.39,2.8556,13.02,320,0,0.18,72.33,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,铝钢复合结构阳极钢爪（Anodic-steel-claw-of-aluminum-steel-composite-structure）------可参与成本分析技术,技术说明：,2016,null,商业应用,182.88,7.3152,33.35,320,0,0.18,185.28,10,0,0,0,0,0,0,0,0,0,0,0,0,
有色金属,机改技术,铝冶炼,高润湿耐渗透TiB2/C复合阴极技术（TiB2/C-composite-cathode-with-high-wettability-and-impermeability）------可参与成本分析技术,技术说明：,2016,null,商业应用,493.27,19.7308,66.29,577.5,0,0.34,194.97,20,0,0,0,0,0,0,0,0,0,0,0,0,
