行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨-钢),固定成本(元/吨-钢),可变成本(元/吨-钢),年化总成本(元/吨-钢-钢),排放因子(tCO2/吨-钢),单位减排成本(元/吨CO2),运行寿命(y),利用率(%),年化总成本(元/吨-钢),节电潜力(kwh/吨-钢),节煤潜力(GJ/吨-钢),减排潜力(tCO2/吨-钢),投资成本(元/吨·公里),固定成本(元/吨·公里),年化总成本(元/吨·公里),节电潜力(kwh/吨),节煤潜力(GJ/吨),减排潜力(tCO2/t),年化总成本(元/吨-钢·公里),
钢铁,机改技术,整体措施,能源监测和管理系统（Energy-monitoring-and-management-system-）------可参与成本分析技术,技术说明：,2016,,商业应用,1.24,0.0496,0,0,0,20.65,15,0,0.19,2.78,0.08,0.0092,0,0,0,0,0,0,0,
钢铁,机改技术,整体措施,预防性维护技术（Preventative-maintenance）------可参与成本分析技术,技术说明：,2016,,商业应用,0.065,0.0026,0,0,0,0.29,15,0,0.01,5.56,0.32,0.034,0,0,0,0,0,0,0,
钢铁,机改技术,烧结技术,烧结余热能量回收驱动技术------可参与成本分析技术,技术说明：,2016,330万吨烧结矿,商业应用,15.15,0.606,0,0,0,113.5,15,0,2.27,34.1,0,0.02,0,0,0,0,0,0,0,
钢铁,机改技术,烧结技术,环冷机液密封技术------可参与成本分析技术,技术说明：,2016,420万吨烧结矿,商业应用,5.95,0.238,0,0,0,213.73,10,0,1.09,8.7223214285714,0,0.0051,0,0,0,0,0,0,0,
钢铁,机改技术,焦化技术,大型焦炉用新型高导热高致密硅砖节能技术------可参与成本分析技术,技术说明：,2016,60万吨焦炭,商业应用,30,1.2,0,0,0,44.9,15,0,4.49,0,2.3494445,0.1,0,0,0,0,0,0,0,
钢铁,机改技术,焦化技术,干法熄焦技术（Coke-dry-quenching）------可参与成本分析技术,技术说明：,2016,,商业应用,98.8,3.952,0,0,0,288.7,20,0,13.28,80,0,0.046,0,0,0,0,0,0,0,
钢铁,机改技术,焦化技术,炼焦煤调湿风选技术------可参与成本分析技术,技术说明：,2016,220万吨焦炭,商业应用,59.09,2.36,0,0,0,737.5,15,0,8.85,0,0.279,0.012,0,0,0,0,0,0,0,
钢铁,机改技术,焦化技术,焦炉炭化室荒气回收和压力自动调节技术------可参与成本分析技术,技术说明：,2016,120万吨焦炭,商业应用,15,0.6,0,0,0,750,15,0,2.25,0,0.067575,0.003,0,0,0,0,0,0,0,
钢铁,机改技术,焦化技术,焦炉荒煤气显热回收利用技术------可参与成本分析技术,技术说明：,2016,120万吨焦炭,商业应用,23.333333333333,0.93,0,0,0,313,20,0,3.13,18,0,0.01,0,0,0,0,0,0,0,
钢铁,机改技术,焦化技术,煤调湿技术（Coal-moisture-control）------可参与成本分析技术,技术说明：,2016,,商业应用,46.8,1.872,0,0,0,889.58,10,0,8.54,16.6,0,0.0096,0,0,0,0,0,0,0,
钢铁,机改技术,焦化技术,高温高压干熄焦装置------可参与成本分析技术,技术说明：,2016,190万吨干熄焦,商业应用,105.78947368421,4.23,0,0,0,215.45,20,0,14.22,113.79487179487,0,0.066,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,偏心炉底出钢技术（Eccentric-bottom-tapping）------可参与成本分析技术,技术说明：,2016,,商业应用,39.65,1.586,0,0,0,380.71,20,0,5.33,25,0,0.014,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,双壳节能电弧炉技术（Twin-Shell-Electric-Arc-Furnace）------可参与成本分析技术,技术说明：,2016,,商业应用,74.1,2.964,0,0,0,474.29,20,0,9.96,36.1,0,0.021,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,底吹搅拌/注气技术（Bottom-stirring/gas-injection-）------可参与成本分析技术,技术说明：,2016,,商业应用,0.57,0.0228,0,0,0,62.5,10,0,0.1,2.8,0,0.0016,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,废钢预热技术（Scrap-preheating）------可参与成本分析技术,技术说明：,2016,,商业应用,58.5,2.34,0,0,0,201.43,30,0,7.05,61,0,0.035,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,氧燃料燃烧器（Oxy-fuel-burners）------可参与成本分析技术,技术说明：,2016,,商业应用,9.1,0.364,0,0,0,204.94,10,0,1.66,13.9,0,0.0081,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,泡沫渣利用技术（Foamy-slag-practices）------可参与成本分析技术,技术说明：,2016,,商业应用,26,1.04,0,0,0,285.45,30,0,3.14,19.4,0,0.011,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,烟气监测与控制技术（Flue-gas-monitoring-and-control）------可参与成本分析技术,技术说明：,2016,,商业应用,24.7,0.988,0,0,0,562.5,10,0,4.5,13.9,0,0.008,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,直流电弧炉技术（Direct-current-arc-furnaces）------可参与成本分析技术,技术说明：,2016,,商业应用,3.25,0.13,0,0,0,8.46,20,0,0.44,88.9,0,0.052,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,超高压变压器（Ultra-high-power-transformer）------可参与成本分析技术,技术说明：,2016,,商业应用,69.55,2.782,0,0,0,306.47,15,0,10.42,58.3,0,0.034,0,0,0,0,0,0,0,
钢铁,机改技术,电炉炼钢,风扇调速驱动系统（Adjustable-speed-drives-on-flue-gas-fans）------可参与成本分析技术,技术说明：,2016,,商业应用,16.9,0.676,0,0,0,328.57,15,0,2.53,13.2,0,0.0077,0,0,0,0,0,0,0,
钢铁,机改技术,转炉炼钢,转炉气体及显热回收技术（Recovery-of-basic-oxygen-furnace-gas）------可参与成本分析技术,技术说明：,2016,270万吨钢,商业应用,19.63,0.7852,0,0,0,639.13,15,0,2.94,8,0,0.0046,0,0,0,0,0,0,0,
钢铁,机改技术,转炉炼钢,转炉烟气干法除尘技术（LT-PR-of-converter-gas）------可参与成本分析技术,技术说明：,2016,,商业应用,22.75,0.91,0,0,0,189.44,15,0,3.41,7.5,0.1465,0.018,0,0,0,0,0,0,0,
钢铁,机改技术,转炉炼钢,通风机变频调速技术（Variable-speed-drive-on-ventilation-fans）------可参与成本分析技术,技术说明：,2016,,商业应用,1.95,0.078,0,0,0,500,15,0,0.29,1,0,0.00058,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,加热炉智能烧钢系统集成技术------可参与成本分析技术,技术说明：该技术综合应用传热、传质理论，结合数值计算方法，通过建立加热炉的炉内传热模型，在参数辨识与在线智能补偿技术基础上，应用总括热吸收率法定量化钢坯加热过程的复杂边界，应用先进数值计算方法，采用加热炉生产过程中的可测变量来估算炉内钢坯的温度分布等不可测参量；把炉温设定值控制与钢坯出炉温度直接联系起来，以实现钢坯加热生产的能耗最小和钢坯氧化损失最少等目标，对钢坯加热过程正常情况、待轧情况等完成在线优化加热制度寻优及动态炉温制度搜索、设定，实现了以钢坯出炉温度为最终目标的钢坯加热过程智能控制,2019,324万吨-钢,商业应用,0.93,0.0372,0,0,0,20.9,15,0,0.14,0,0.067,0.0067,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,加热炉黑体强化辐射节能技术------可参与成本分析技术,技术说明：,2016,150万吨轧钢,商业应用,2.33,0.0932,0,0,0,15.22,15,0,0.35,40.1,0,0.023,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,自动监控和识别系统（Automated-monitoring-and-targeting-system）------可参与成本分析技术,技术说明：,2016,,商业应用,23.4,0.936,0,0,0,133.44,10,0,4.27,55.6,0,0.032,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,蓄热式燃烧器（Regenerative-burners）------可参与成本分析技术,技术说明：,2016,,商业应用,20.8,0.832,0,0,0,51.92,10,0,3.79,85,0.25,0.073,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,薄板坯连铸技术（Thin-slab-casting）------可参与成本分析技术,技术说明：,2016,,商业应用,38.35,1.534,0,0,0,39.62,20,0,5.15,25,1.18,0.13,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,连铸-热轧一体化技术（Integrated-casting-and-rolling）------可参与成本分析技术,技术说明：,2016,,商业应用,19.5,0.78,0,0,0,54.58,20,0,2.62,42,0.25,0.048,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,退火生产线余热回收技术（Heat-recovery-on-annealing-line）------可参与成本分析技术,技术说明：,2016,,商业应用,22.75,0.91,0,0,0,345.83,10,0,4.15,2.8,0.11,0.012,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,酸洗机组蒸汽减量技术（Reduced-steam-use-in-acid-pickling-line）------可参与成本分析技术,技术说明：,2016,,商业应用,22.75,0.91,0,0,0,2964.29,10,0,4.15,2.4,0,0.0014,0,0,0,0,0,0,0,
钢铁,机改技术,铸轧技术,高延性冷轧带肋钢筋低碳节能技术------可参与成本分析技术,技术说明：该技术基于冷轧+轧制力前馈的在线热处理工艺技术原理，以普碳钢 Q235 为原料，不添加任何微合金，通过独创高速无头轧制，使钢筋在塑性变形的同时增强位错交互作用、提高位错密度和增大变形抗力，提高金属强度，然后通过中频感应回火热处理促进轧制过程产生的位错和空位的运动， 使冷轧作用下出现的亚晶得到恢复，内部残余应力被消除，钢筋塑性性能得到改善，实现了节材、节能、减碳。,2021,150万吨-钢,商业应用,160,6.4,0,0,0,413.28,15,0,23.97,null,null,0.058,0,0,0,0,0,0,0,
钢铁,机改技术,高炉炼铁,全密闭矿热炉高温烟气干法净化回收利用技术------可参与成本分析技术,技术说明：,2016,10万吨铬铁,商业应用,760,30.4,0,0,0,99.86,15,0,113.84,0,0,1.14,0,0,0,0,0,0,0,
钢铁,机改技术,高炉炼铁,基于炉腹煤气量指数优化的智能化大型高炉节能技术------可参与成本分析技术,技术说明：,2016,800万吨生铁,商业应用,437.5,17.5,0,0,0,529.73,20,0,58.8,0,1.172,0.111,0,0,0,0,0,0,0,
钢铁,机改技术,高炉炼铁,旋切式高风温顶燃热风炉节能技术------可参与成本分析技术,技术说明：,2016,230万吨生铁,商业应用,43.08,1.7232,0,0,0,230.36,15,0,6.45,0,0.293,0.028,0,0,0,0,0,0,0,
钢铁,机改技术,高炉炼铁,高炉冲渣水直接换热回收余热技术------可参与成本分析技术,技术说明：,2016,320万吨生铁,商业应用,16.25,0.65,0,0,0,105.65,15,0,2.43,0,0,0.023,0,0,0,0,0,0,0,
钢铁,机改技术,高炉炼铁,高炉喷吹焦炉煤气技术(Injection-of-coke-oven-gas)------可参与成本分析技术,技术说明：,2016,,商业应用,37.7,1.508,0,0,0,130,20,0,5.07,14.8,0.32,0.039,0,0,0,0,0,0,0,
钢铁,机改技术,高炉炼铁,高炉炉顶煤气干式余压发电技术(Top-pressure-recovery-turbines,-TRT)------可参与成本分析技术,技术说明：,2016,,商业应用,18.85,0.754,0,0,0,87.24,20,0,2.53,50,0,0.029,0,0,0,0,0,0,0,
钢铁,机改技术,高炉炼铁,高炉顶压高精度稳定性控制技术-(High-precision-control-technology-for-stability-of-top-pressure-)------可参与成本分析技术,技术说明：,2016,,商业应用,1.95,0.078,0,0,0,262.63,20,0,0.26,1.7,0,0.00099,0,0,0,0,0,0,0,
钢铁,机改技术,高炉炼铁,高炉鼓风除湿节能技术,技术说明：,2016,,商业应用,,null,0,0,0,null,10,0,null,0,0.0199045,0.002,0,0,0,0,0,0,0,
