行业领域,技术类型,工艺环节,技术名称,技术说明,时间基准,规模基准,技术成熟度,投资成本(元/吨-熟料),固定成本(元/吨-熟料),年化总成本(元/吨-熟料),节电潜力(kwh/吨-熟料),节煤潜力(GJ/吨-熟料),减排潜力(tCO2/吨-熟料),单位减排成本(元/吨CO2),运行寿命(y),投资成本(元/吨-水泥),固定成本(元/吨-水泥),年化总成本(元/吨-水泥),节电潜力(kwh/吨-水泥),节煤潜力(GJ/吨-水泥),减排潜力(tCO2/吨-水泥),投资成本(元/吨-生活垃圾),固定成本(元/吨-生活垃圾),年化总成本(元/吨-生活垃圾),节电潜力(kwh/吨-生活垃圾),节煤潜力(GJ/吨-生活垃圾),减排潜力(tCO2/吨-生活垃圾),
水泥,机改技术,原料准备,高效逆变器风机（Efficient-fan-with-inverter-for-raw-mill-vent-fan）------可参与成本分析技术,技术说明：,2016,null,商业应用,0.276,0.011,0.05,0.36,0,0.000209,239.23,10,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,整体措施,水泥企业ERP资源规划模式（Enterprise-resource-planning）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,910.61,10,8.942,0.358,1.63,3.09,0,0.00179,0,0,0,0,0,0,
水泥,机改技术,整体措施,永磁涡流柔性传动节能技术（Permanent-magnet-eddy-current-flexible-transmission）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,36.65,20,0.5,0.02,0.07,3.3,0,0.00191,0,0,0,0,0,0,
水泥,机改技术,整体措施,能源管理与控制系统（Energy-management-and-control-system）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,92,10,1.25,0.05,0.23,4.3,0,0.0025,0,0,0,0,0,0,
水泥,机改技术,整体措施,高效节能电机（High-efficiency-motors）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,206.77,10,2.992,0.12,0.55,4.58,0,0.00266,0,0,0,0,0,0,
水泥,机改技术,水泥粉磨,外循环生料立磨技术------可参与成本分析技术,技术说明：,2020,70万吨-水泥熟料,商业应用,0,0,0,0,0,0,1492.31,15,25.92,1.037,3.88,4.47,0,0.0026,0,0,0,0,0,0,
水泥,机改技术,水泥粉磨,新型水泥高压预粉磨系统技术（New-efficient-pregrinding-by-high-pressure-roller-press）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,103.3,20,5.359,0.214,0.72,12,0,0.00697,0,0,0,0,0,0,
水泥,机改技术,水泥粉磨,立磨终粉磨水泥技术（Vertical-roller-mill-for-finish-grinding）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,415.18,20,34.615,1.385,4.65,19.32,0,0.0112,0,0,0,0,0,0,
水泥,机改技术,水泥粉磨,终粉磨系统变频风扇驱动技术（Variable-speed-drive-for-finish-grinding-fan）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,172.41,10,0.0961,0.00384,0.02,0.2,0,0.000116,0,0,0,0,0,0,
水泥,机改技术,水泥粉磨,终粉磨系统高效分级机（High-efficiency-classifier-for-finish-grinding）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,37.86,20,1.25,0.05,0.17,7.73,0,0.00449,0,0,0,0,0,0,
水泥,机改技术,水泥粉磨,辊压机球磨机联合粉磨技术（Combined-roller-press-and-ball-mill-for-finish-grinding）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,532.18,20,32.019,1.28,4.3,13.91,0,0.00808,0,0,0,0,0,0,
水泥,机改技术,水泥粉磨,高压力料床粉碎技术（粉磨）------可参与成本分析技术,技术说明：,2019,240万吨-水泥水泥,商业应用,0,0,0,0,0,0,92.31,15,0.83,0.033,0.12,2.28,0,0.0013,0,0,0,0,0,0,
水泥,机改技术,水泥粉磨,高效优化粉磨节能技术（Optimization-for-energy-saving-grinding）------可参与成本分析技术,技术说明：,2016,null,商业应用,0,0,0,0,0,0,50.11,20,3.365,0.135,0.45,15.46,0,0.00898,0,0,0,0,0,0,
水泥,机改技术,熟料替代,基于冶金基固废胶凝材料的全固废高性能混凝土制备及应用技术------可参与成本分析技术,技术说明：该技术原材料使用 100%工业固体废弃物（铁尾矿、脱硫石膏、冶金渣等）。混凝土骨料 100%采用铁尾矿和废石，根据“粒级与活性的双重协同优化”原理，利用工业废渣整体胶凝材料，与高性能减水剂（或超塑化剂）优化配合，制备较低水化热、较高耐久性的全固废混凝土，完全替代水泥。,2021,100万吨-熟料凝胶材料,商业应用,200,8,29.96,null,null,0.424,70.66,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料替代,工业废渣替代技术------可参与成本分析技术,技术说明：,2015,,商业应用,0,0,0,-1.94,0,0.06,0,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料替代,水泥窑协同处置危险废物技术------可参与成本分析技术,技术说明：,2015,,商业应用,7.92,0.32,1.19,-3,0,0.011,108.18,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料替代,水泥窑协同处置城市生活垃圾技术,技术说明：,2015,,商业应用,,null,null,-4,0,0.012,null,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料替代,水泥窑协同处置污泥技术,技术说明：,2015,,商业应用,,null,null,-9.6,0,0.014,null,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料替代,生活垃圾生态化前处理和水泥窑协同后处理技术,技术说明：,2019,垃圾日处置量950吨-熟料,商业应用,,null,null,0,0.86,0.077,null,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料替代,生活垃圾生态化前处理和水泥窑协同后处置技术------可参与成本分析技术,技术说明：,2022,日处置生活垃圾 2000t/d，CMSW（生活垃圾预处理可燃物）1300t/d。,商业应用,0,0,0,0,0,0,196.74,15,0,0,0,0,0,0,700,28,104.86,null,null,0.533,
水泥,机改技术,熟料生产,低导热多层复合莫来石砖------可参与成本分析技术,技术说明：采用多层复合技术，产品由工作层、保温层、隔热层复合而成。技术通过对各层的化学组分、结构和产品的制作工艺进行优化，使产品使用性能优于传统制品，导热系数明显降低；产品应用于大型水泥窑过渡带，不仅能够满足水泥窑的使用要求，且保温隔热效果远优于硅莫砖、硅莫红砖以及镁铝尖晶石砖，筒体外表温度明显降低，节能效果显著,2020,210万吨-熟料熟料,商业应用,1.82,0.073,0.27,0.2,0.033,0.0031,87.1,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,低温余热回收技术（Low-temperature-heat-recovery）------可参与成本分析技术,技术说明：,2016,null,商业应用,71.505,2.86,9.61,35,0,0.0203,473.4,20,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,低温预热发电技术------可参与成本分析技术,技术说明：,2015,,商业应用,2.78,0.11,0.42,33,0,0.012,35,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,变频窑炉风机（Variable-speed-drive-for-kiln-fan）------可参与成本分析技术,技术说明：,2016,null,商业应用,2.362,0.0945,0.43,4.25,0,0.00247,174.09,10,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,大力多通道燃烧节能技术------可参与成本分析技术,技术说明：,2015,,商业应用,0.06,0.0024,0.01,0,0,0.011,0.91,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,富氧燃烧技术------可参与成本分析技术,技术说明：,2015,,商业应用,1.58,0.063,0.24,7.84,0,0.026,9.23,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,带中段辊破的列进式冷却机------可参与成本分析技术,技术说明：,2020,155万吨-熟料熟料,商业应用,12.58,0.503,1.88,2,0.059,0.0064,293.75,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,带分级燃烧的高效低阻预热器系统------可参与成本分析技术,技术说明：,2019,155万吨-熟料熟料,商业应用,12.9,0.52,1.94,1.5,0.117,0.011,176.36,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,悬浮预热器用低压降旋风分离器（Low-pressure-drop-cyclones-for-suspension-preheater）------可参与成本分析技术,技术说明：,2016,null,商业应用,57.0938,2.284,7.67,2.6,0,0.00151,5079.47,20,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,新型干法水泥窑生产运行节能监控优化系统技术------可参与成本分析技术,技术说明：,2016,,商业应用,0.7,0.028,0.1,0,0.34,0.03,3.33,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,新型水泥熟料冷却技术及装备------可参与成本分析技术,技术说明：采用新型前吹高效篦板、高效急冷斜坡、高温区细分供风、新型高温耐磨材料、智能化“自动驾驶”、新型流量调节阀等技术，高温热熟料通过风冷可实现对热熟料的冷却并完成热量的交换和回收，中置辊式破碎机将熟料破碎至<25mm粒度，同时步进式结构的篦床将熟料输送至下一道工序，热回收效率高、输送运转率高、磨损低，可降低电耗.,2020,150万吨-熟料熟料,商业应用,7.6,0.3,1.13,2.57,0.082,0.0088,128.41,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,新型高效低氮燃烧器（New-efficient-burner-with-low-nitrogen）------可参与成本分析技术,技术说明：,2016,null,商业应用,6.442,0.258,0.78,0.22,0.05275,0.00483,161.49,30,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,曲叶型系列离心风机技术（Installation-of-centrifugal-fan-of-leaf-curl）------可参与成本分析技术,技术说明：,2016,null,商业应用,1.7308,0.0692,0.32,5.83,0,0.00339,94.4,10,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,水泥企业可视化能源管理系统------可参与成本分析技术,技术说明：,2017,120万吨-熟料熟料,商业应用,5.42,0.22,0.82,15.94,0,0.0092,89.13,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,水泥熟料烧成系统优化技术------可参与成本分析技术,技术说明：,2017,155万吨-熟料熟料,商业应用,7.74,0.31,1.16,0,0.78,0.07,16.57,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,水泥碳捕集、利用与封存（CCUS）,技术说明：,2015,,商业应用,,null,null,-0.47,0,0.0025,null,20,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,水泥窑新型耐火材料成套技术------可参与成本分析技术,技术说明：,2015,,商业应用,0,0,0,8,0,0.026,0,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,湿法脱硫技术------可参与成本分析技术,技术说明：,2015,,商业应用,1.76,0.07,0.26,-0.5,0,0.28,0.93,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,熟料冷却风扇变频驱动技术（Variable-frequency-drive-for-clinker-cooler-fans）------可参与成本分析技术,技术说明：,2016,null,商业应用,0.0788,0.00315,0.01,0.11,0,6.39E-5,156.49,10,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,熟料生产节能监测与优化系统（Energy-saving-monitoring-and-optimizing-system-in-clinker-making）------可参与成本分析技术,技术说明：,2016,null,商业应用,18.585,0.743,3.39,2.35,0.15,0.0147,230.61,10,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,稳流行进式水泥熟料冷却技术（Stable-flow-walking-cooling-technology-for-clinker）------可参与成本分析技术,技术说明：,2016,null,商业应用,5.865,0.235,0.71,1.5,0.00527,0.00134,529.85,30,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,第四代温流行进式水泥熟料冷却技术------可参与成本分析技术,技术说明：,2015,,商业应用,0.84,0.034,0.13,2,0,0.011,11.82,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,选择性催化还原技术（SCR）,技术说明：,2015,,商业应用,2.81,0.11,0.42,-1.38,0,-0.00048,null,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,集成模块化窑衬节能技术------可参与成本分析技术,技术说明：,2019,180万吨-熟料熟料,商业应用,2.46,0.098,0.37,1.5,0.088,0.0087,42.53,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,高固气比水泥悬浮预热分解技术（Preheating-and-precalcining-with-high-solid-gas-ratio）------可参与成本分析技术,技术说明：,2016,null,商业应用,37.404,1.496,4.51,5.47,0.4103,0.0398,113.32,30,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,高效低氮燃烧器------可参与成本分析技术,技术说明：,2015,,商业应用,0.2,0.008,0.03,0,0,0.0028,10.71,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,高效布袋除尘技术------可参与成本分析技术,技术说明：,2015,,商业应用,0.53,0.021,0.08,0.8,0,0.00028,285.71,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,高效篦式冷却机技术（High-efficiency-grate-cooler）------可参与成本分析技术,技术说明：,2016,null,商业应用,12.788,0.5115,1.54,2,0.082,0.00848,181.6,30,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,熟料生产,高能效水泥预热分解技术------可参与成本分析技术,技术说明：,2015,,商业应用,2.59,0.1,0.38,3,0,0.013,29.23,15,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,燃料准备,变频驱动安装及除尘风机替换（Installation-of-variable-frequency-drive-&-replacement-of-dust-collector’s-fan）------可参与成本分析技术,技术说明：,2016,null,商业应用,0.236,0.00944,0.04,0.16,0,9.3E-5,430.11,10,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,燃料准备,立式辊磨煤粉机（Vertical-roller-mill-for-coal-grinding）------可参与成本分析技术,技术说明：,2016,null,商业应用,3.173,0.127,0.43,1.72,0,0.000999,430.43,20,0,0,0,0,0,0,0,0,0,0,0,0,
水泥,机改技术,燃料准备,高效煤粉分离器（New-efficient-separator-for-coal-grinding）------可参与成本分析技术,技术说明：,2016,null,商业应用,85.365,3.415,11.47,5,0,0.0029,3955.17,20,0,0,0,0,0,0,0,0,0,0,0,0,
